,id,host_id,zipcode,accommodates,bathrooms,bedrooms,beds,minimum_nights,availability_30,number_of_reviews,review_scores_rating,host_listing_count,Apartment,Bed & Breakfast,Boat,Castle,Dorm,House,Hut,Loft,Other,Tent,Treehouse,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,price,price_log
27,4358437,22623725,10035,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,0.17367341683956244,1.096567719327034,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,150.0,5.0106352940962555
28,26229,64206,10003,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,0.9661606895449907,1.0165902278477406,1.2677943776625484,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,299.0,5.700443573390687
30,3414741,10451037,10038,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,-0.5052708081631176,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,365.0,5.8998973535824915
32,1006877,72062,10009,1.1238338879494987,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,1.0165902278477406,0.08575092044543774,95-100,3.7863338156858846,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,225.0,5.41610040220442
33,798391,3381805,10031,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-1.3027570250517688,-0.456018997445738,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,90.0,4.499809670330265
35,3235070,14337132,10026,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,-0.22257021951315167,-1.3027570250517688,-0.4067671867283584,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,125.0,4.8283137373023015
36,2677222,13707331,10027,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,0.430513595467095,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,109.0,4.6913478822291435
37,2309222,11791227,10011,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,-1.3027570250517688,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400.0,5.991464547107982
39,2407196,5905011,10030,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,-1.3027570250517688,0.7752762704887524,95-100,-0.38286826759845854,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,89.0,4.48863636973214
40,4713297,24355708,10012,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,0.6966802619305669,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,250.0,5.521460917862246
41,4849849,24004927,11102,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.0165902278477406,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80.0,4.382026634673881
42,4846095,22758010,11206,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.9661606895449907,-1.142802042093182,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65.0,4.174387269895637
43,4879165,25100279,10009,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-0.1830721443416608,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,100.0,4.605170185988092
44,3574160,4111729,10128,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,0.6966802619305669,-0.35751537601097877,95-100,1.0068657601629891,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,250.0,5.521460917862246
45,783964,2347382,11101,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,0.7766577534098603,1.07078713479303,90-94,0.5436210842425065,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,66.0,4.189654742026425
46,3283782,2269804,11206,1.6716253459016284,-0.3370343067877555,1.235102772229469,1.2700382361934728,-0.22257021951315167,0.9366127363684471,-0.5545226188804973,No Reviews,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,160.0,5.075173815233827
47,2769628,3464208,10031,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.5699170531922766,-0.1830721443416608,0.3812617847497154,85-89,0.5436210842425065,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,70.0,4.248495242049359
48,2568017,9113389,11221,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,0.45674778749268663,-0.062004511706701106,80-84,4.7128231675268495,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,35.0,3.5553480614894135
49,4719789,21328128,11206,-0.5195404859068907,2.3140196115930816,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,-0.5545226188804973,No Reviews,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,69.0,4.23410650459726
50,3595080,1606560,10014,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,1.096567719327034,-0.4067671867283584,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,125.0,4.8283137373023015
51,4468759,23185254,10031,-1.0673319438590205,-1.6625612659781739,-0.41170092407648967,-0.5068550097086097,1.758647962250419,1.096567719327034,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,50.0,3.912023005428146
52,4791467,24695604,11385,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,-1.2227795335724754,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80.0,4.382026634673881
53,995373,5467851,10028,1.1238338879494987,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,0.9366127363684471,1.2677943776625484,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,199.0,5.293304824724492
54,4786187,11082113,10009,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,-1.3027570250517688,-0.5545226188804973,No Reviews,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,250.0,5.521460917862246
55,3593884,3371804,11206,1.6716253459016284,-0.3370343067877555,1.235102772229469,0.38159161324243157,0.17367341683956244,-1.3027570250517688,-0.456018997445738,95-100,0.08037640832202401,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,140.0,4.941642422609304
57,2298170,6635885,10012,0.5760424299973689,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.6188138558658658,-1.3027570250517688,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,400.0,5.991464547107982
58,3674563,3699311,10038,-0.5195404859068907,0.9884926524026629,-0.41170092407648967,0.38159161324243157,-0.6188138558658658,1.096567719327034,-0.5545226188804973,No Reviews,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,150.0,5.0106352940962555
59,1906230,6654717,11211,1.1238338879494987,0.9884926524026629,-0.41170092407648967,0.38159161324243157,1.758647962250419,-1.3027570250517688,-0.4067671867283584,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,275.0,5.616771097666572
60,857948,4431637,10025,-1.0673319438590205,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,-0.5052708081631176,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,150.0,5.0106352940962555
61,403666,101689,11215,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,0.38159161324243157,1.3624043258977048,-1.3027570250517688,-0.5052708081631176,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,139.0,4.9344739331306915
62,1973503,616927,10007,0.028250972045239065,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,-1.0628245506138885,-0.30826356529359916,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,275.0,5.616771097666572
63,843499,350553,10027,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,-1.142802042093182,-0.4067671867283584,80-84,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60.0,4.0943445622221
64,111308,97476,11211,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.5699170531922766,0.1368378215755129,2.9423559420534553,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60.0,4.0943445622221
65,2056723,9215509,11205,0.5760424299973689,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.6188138558658658,1.096567719327034,0.13500273116281733,90-94,1.4701104360834716,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,150.0,5.0106352940962555
66,2842403,14538812,10030,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,0.8566352448891538,0.23350635259757657,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,60.0,4.0943445622221
68,4332961,1153352,10002,1.6716253459016284,-0.3370343067877555,1.235102772229469,0.38159161324243157,-0.22257021951315167,1.0165902278477406,-0.35751537601097877,95-100,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,145.0,4.976733742420574
69,1846580,9646158,11215,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,-0.22257021951315167,1.096567719327034,0.7752762704887524,85-89,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,65.0,4.174387269895637
70,67145,330660,10011,-0.5195404859068907,-0.3370343067877555,-0.41170092407648967,-0.5068550097086097,0.17367341683956244,0.05686033009621948,0.2827581633149562,90-94,-0.38286826759845854,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,125.0,4.8283137373023015
